Site Address,Page Count,Page Count %,Unique Page Count,Unique Page Count %
revenue,619491,37.17%,295272,27.77%
homepage,279061,16.74%,202995,19.09%
opa,120685,7.24%,94537,8.89%
li,67558,4.05%,44593,4.19%
health,58563,3.51%,44103,4.15%
brt,56955,3.42%,47302,4.45%
records,43091,2.59%,28429,2.67%
parksandrecreation,38611,2.32%,29298,2.76%
prisons,35807,2.15%,26809,2.52%
residents,35728,2.14%,27253,2.56%
maps,31964,1.92%,25149,2.37%
districtattorney,20729,1.24%,16659,1.57%
topics,18380,1.1%,13651,1.28%
waterrev,17715,1.06%,14155,1.33%
311,17127,1.03%,13573,1.28%
mayor,15462,0.93%,11638,1.09%
loop,14280,0.86%,10632,1%
