Site Address,Page Count,Page Count %,Unique Page Count,Unique Page Count %
revenue,"441,986",28.36%,"181,412",18.13%
opa,"375,089",24.06%,"280,803",28.07%
homepage,"229,073",14.70%,"167,950",16.79%
brt,"53,567",3.44%,"43,204",4.32%
health,"45,732",2.93%,"34,842",3.48%
li,"43,285",2.78%,"29,557",2.95%
records,"38,977",2.50%,"25,918",2.59%
prisons,"32,245",2.07%,"24,035",2.40%
residents,"31,168",2.00%,"23,565",2.36%
parksandrecreation,"26,891",1.73%,"21,045",2.10%
loop,"23,437",1.50%,"16,808",1.68%
maps,"20,369",1.31%,"12,234",1.22%
districtattorney,"17,342",1.11%,"13,602",1.36%
waterrev,"16,813",1.08%,"13,734",1.37%
topics,"15,736",1.01%,"11,558",1.16%
