Site Address,Page Count,Page Count %,Unique Page Count,Unique Page Count %
revenue,"761,812",39.51%,"380,147",30.73%
homepage,"287,412",14.90%,"211,048",17.07%
opa,"129,332",6.71%,"102,363",8.27%
li,"72,216",3.74%,"47,674",3.85%
health,"69,283",3.59%,"51,828",4.19%
brt,"65,524",3.40%,"54,597",4.41%
parksandrecreation,"59,279",3.07%,"44,241",3.58%
records,"50,301",2.61%,"33,137",2.68%
prisons,"42,708",2.21%,"32,232",2.61%
residents,"40,082",2.08%,"30,145",2.44%
maps,"36,791",1.91%,"29,229",2.36%
water,"22,747",1.18%,"17,141",1.39%
topics,"22,496",1.17%,"16,502",1.33%
districtattorney,"22,444",1.16%,"18,080",1.46%
waterrev,"22,302",1.16%,"17,744",1.43%
